Type,Start Time (UTC),Start Time (local),End Time (UTC),End Time (local),Calories,Steps,Average Heart Rate
light_activity,2016-04-02 22:46:00,2016-04-02 18:46:00,2016-04-02 22:49:00,2016-04-02 18:49:00,10.1,49,107
inactive,2016-04-02 22:49:00,2016-04-02 18:49:00,2016-04-02 23:00:00,2016-04-02 19:00:00,13,0,74
light_activity,2016-04-02 23:00:00,2016-04-02 19:00:00,2016-04-02 23:03:00,2016-04-02 19:03:00,4.3,91,88
inactive,2016-04-02 23:03:00,2016-04-02 19:03:00,2016-04-02 23:12:00,2016-04-02 19:12:00,9.8,0,71
light_activity,2016-04-02 23:12:00,2016-04-02 19:12:00,2016-04-02 23:19:00,2016-04-02 19:19:00,11,145,85
inactive,2016-04-02 23:19:00,2016-04-02 19:19:00,2016-04-02 23:22:00,2016-04-02 19:22:00,3.6,0,77
light_activity,2016-04-02 23:22:00,2016-04-02 19:22:00,2016-04-02 23:23:00,2016-04-02 19:23:00,1.8,14,95
inactive,2016-04-02 23:23:00,2016-04-02 19:23:00,2016-04-02 23:26:00,2016-04-02 19:26:00,3.7,0,75
light_activity,2016-04-02 23:26:00,2016-04-02 19:26:00,2016-04-02 23:30:00,2016-04-02 19:30:00,10.2,101,94
inactive,2016-04-02 23:30:00,2016-04-02 19:30:00,2016-04-02 23:37:00,2016-04-02 19:37:00,7.9,0,74
light_activity,2016-04-02 23:37:00,2016-04-02 19:37:00,2016-04-02 23:40:00,2016-04-02 19:40:00,3.6,33,80
inactive,2016-04-02 23:40:00,2016-04-02 19:40:00,2016-04-03 00:01:00,2016-04-02 20:01:00,22.8,0,73
light_activity,2016-04-03 00:01:00,2016-04-02 20:01:00,2016-04-03 00:02:00,2016-04-02 20:02:00,1.1,27,79
inactive,2016-04-03 00:02:00,2016-04-02 20:02:00,2016-04-03 00:08:00,2016-04-02 20:08:00,7,0,79
light_activity,2016-04-03 00:08:00,2016-04-02 20:08:00,2016-04-03 00:10:00,2016-04-02 20:10:00,4.1,28,93
inactive,2016-04-03 00:10:00,2016-04-02 20:10:00,2016-04-03 00:19:00,2016-04-02 20:19:00,10,0,71
